svtplay.se,EUN,SE,SE
svt.se,EUN,SE,SE
svtstatic.se,EUN,SE,SE
svt-vod-1a.akamaized.net,EUN,SE,SE
svt-vod-6d.akamaized.net,EUN,SE,SE
svt-vod-1g.akamaized.net,EUN,SE,SE
svt-vod-10p.akamaized.net,EUN,SE,SE
svt-vod-7l.akamaized.net,EUN,SE,SE
svt-vod-7s.akamaized.net,EUN,SE,SE
svt-vod-4j.akamaized.net,EUN,SE,SE
svt-vod-8s.akamaized.net,EUN,SE,SE
svt-vod-8r.akamaized.net,EUN,SE,SE
svt-vod-6k.akamaized.net,EUN,SE,SE
svt-vod-3e.akamaized.net,EUN,SE,SE
svt-vod-10g.akamaized.net,EUN,SE,SE
svt-vod-9r.akamaized.net,EUN,SE,SE
svt-vod-8t.akamaized.net,EUN,SE,SE
svt-vod-7l.akamaized.net,EUN,SE,SE
svt-vod-5l.akamaized.net,EUN,SE,SE
svt-vod-5a.akamaized.net,EUN,SE,SE
svt1-a.akamaized.net,EUN,SE,SE
svt1-b.akamaized.net,EUN,SE,SE
svt1-c.akamaized.net,EUN,SE,SE
svt1-d.akamaized.net,EUN,SE,SE
svt2-c.akamaized.net,EUN,SE,SE
svt2-d.akamaized.net,EUN,SE,SE
svtb-c.akamaized.net,EUN,SE,SE
svtb-d.akamaized.net,EUN,SE,SE
svtk-c.akamaized.net,EUN,SE,SE
svt-vod-9d.akamaized.net,EUN,SE,SE
svt-vod-10c.akamaized.net,EUN,SE,SE
svt-secure-d.akamaized.net,EUN,SE,SE
svt-vod-6k.akamaized.net,EUN,SE,SE
svt-vod-5c.akamaized.net,EUN,SE,SE
svt-vod-8r.akamaized.net,EUN,SE,SE
svt-vod-8s.akamaized.net,EUN,SE,SE
