a1241.dscv.akamai.net,AMN,UC,UC
nielsen.com,AMN,UC,UC
nielsencollections.com,AMN,UC,UC
fp-keyos.licensekeyserver.com,AMN,UC,UC
live-oneapp-prd-news.akamaized.net,AMN,UC,UC
nmrodam.com,AMN,UC,UC
ln-0002.ln-msedge.net,AMN,UC,UC
mgln.ai,AMN,UC,UC
msnbc.com,AMN,UC,UC
Nbc.com,AMN,UC,UC
nbcnews.com,AMN,UC,UC
us-east-1.elasticbeanstalk.com,AMN,UC,UC
nbcuni.com,AMN,UC,UC
nbcu-peacock-prod.map.fastly.net,AMN,UC,UC
prodamdnewsencoding.akamaized.net,AMN,UC,UC
s-usc1a-nss-2010.firebaseio.com,AMN,UC,UC
nmrodam.com,AMN,UC,UC
sp-gw.adobepass.com,AMN,UC,UC
tls13.taboola.map.fastly.net,AMN,UC,UC
us-east-1.elb.amazonaws.com,AMN,UC,UC
s-nbcnews.com,AMN,UC,UC
a1241.dscv.akamai.net,AMN,UC,UC
nielsen.com,AMN,UC,UC
nielsencollections.com,AMN,UC,UC
