NRK.no,EUN,NO,NO
Nrk-ssl.akamaihd.net,EUN,NO,NO
Nrk.cloudfront.net,EUN,NO,NO
NRKsuper.no,EUN,NO,NO
P3.no,EUN,NO,NO
Yr.no,EUN,NO,NO
Nrksorlandet.no,EUN,NO,NO
Nrkbeta.no,EUN,NO,NO
Nrk.akamaized.net,EUN,NO,NO
Nrk.dmp.fandom.com,EUN,NO,NO
Nrktrysil.no,EUN,NO,NO
Nrkviken.no,EUN,NO,NO
no.edgesuite.net,EUN,NO,NO
medietall.no,EUN,NO,NO
ssl-nrk.tns-cs.net,EUN,NO,NO
k5a.io,EUN,NO,NO
tns-cs.net,EUN,NO,NO
dna.contentdelivery.net,EUN,NO,NO
Npaw.com,EUN,NO,NO
nrk-live-no.akamaized.net,EUN,NO,NO
nrk-od2-no.lb-dir.cdntel.net,EUN,NO,NO
rsc.cdn77.org,EUN,NO,NO
a1978.r.akamai.net,EUN,NO,NO
a778.dscr.akamai.net,EUN,NO,NO
a1919.dscr.akamai.net,EUN,NO,NO
a1946.z.akamai.net,EUN,NO,NO
a1931.dscr.akamai.net,EUN,NO,NO
a1523.dscr.akamai.net,EUN,NO,NO
telenorcdn.net,EUN,NO,NO
keen-dcv2-ne-oddu-prod.northeurope.cloudapp.azure.com,EUN,NO,NO
keen-dcv2-we-oddu-prod.westeurope.cloudapp.azure.com,EUN,NO,NO
a1830.dscr.akamai.net,EUN,NO,NO
a1830.dscr.akamai.net,EUN,NO,NO
a586.v.akamai.net,EUN,NO,NO
a104.v.akamai.net,EUN,NO,NO
sebrutsto-01-ipv4.lb-dc.oci.dns.cdntel.net,EUN,NO,NO
lb-14.lb.oci.dns.cdntel.net,EUN,NO,NO
nrk-od2.lb-dir.cdntel.net,EUN,NO,NO
nrk-od-no-01.akamaized.net,EUN,NO,NO
nrk-od-no-02.akamaized.net,EUN,NO,NO
nrk-od-no-03.akamaized.net,EUN,NO,NO
nrk-od-no-04.akamaized.net,EUN,NO,NO
nrk-od-no-05.akamaized.net,EUN,NO,NO
nrk-od-no-06.akamaized.net,EUN,NO,NO
nrk-od-no-07.akamaized.net,EUN,NO,NO
nrk-od-no-08.akamaized.net,EUN,NO,NO
nrk-od-no-09.akamaized.net,EUN,NO,NO
nrk-od-no-10.akamaized.net,EUN,NO,NO
nrk-od-no-11.akamaized.net,EUN,NO,NO
nrk-od-no-12.akamaized.net,EUN,NO,NO
nrk-od-no-13.akamaized.net,EUN,NO,NO
nrk-od-no-14.akamaized.net,EUN,NO,NO
nrk-od-no-15.akamaized.net,EUN,NO,NO
nrk-od-no-16.akamaized.net,EUN,NO,NO
nrk-od-no-17.akamaized.net,EUN,NO,NO
nrk-od-no-18.akamaized.net,EUN,NO,NO
nrk-od-no-19.akamaized.net,EUN,NO,NO
nrk-od-no-20.akamaized.net,EUN,NO,NO
nrk-od-no-21.akamaized.net,EUN,NO,NO
nrk-od-no-22.akamaized.net,EUN,NO,NO
nrk-od-no-23.akamaized.net,EUN,NO,NO
nrk-od-no-24.akamaized.net,EUN,NO,NO
nrk-od-no-25.akamaized.net,EUN,NO,NO
nrk-od-no-26.akamaized.net,EUN,NO,NO
nrk-od-no-27.akamaized.net,EUN,NO,NO
nrk-od-no-28.akamaized.net,EUN,NO,NO
nrk-od-no-29.akamaized.net,EUN,NO,NO
nrk-od-no-30.akamaized.net,EUN,NO,NO
nrk-od-no-31.akamaized.net,EUN,NO,NO
nrk-od-no-32.akamaized.net,EUN,NO,NO
nrk-od-no-33.akamaized.net,EUN,NO,NO
nrk-od-no-34.akamaized.net,EUN,NO,NO
nrk-od-no-35.akamaized.net,EUN,NO,NO
nrk-od-no-36.akamaized.net,EUN,NO,NO
nrk-od-no-37.akamaized.net,EUN,NO,NO
nrk-od-no-38.akamaized.net,EUN,NO,NO
nrk-od-no-39.akamaized.net,EUN,NO,NO
nrk-od-no-40.akamaized.net,EUN,NO,NO
nrk-od-no-41.akamaized.net,EUN,NO,NO
nrk-od-no-42.akamaized.net,EUN,NO,NO
nrk-od-no-43.akamaized.net,EUN,NO,NO
nrk-od-no-44.akamaized.net,EUN,NO,NO
nrk-od-no-45.akamaized.net,EUN,NO,NO
nrk-od-no-46.akamaized.net,EUN,NO,NO
nrk-od-no-47.akamaized.net,EUN,NO,NO
nrk-od-no-48.akamaized.net,EUN,NO,NO
nrk-od-no-49.akamaized.net,EUN,NO,NO
nrk-od-no-50.akamaized.net,EUN,NO,NO
nrk-od-no-51.akamaized.net,EUN,NO,NO
nrk-od-no-52.akamaized.net,EUN,NO,NO
nrk-od-no-53.akamaized.net,EUN,NO,NO
nrk-od-no-54.akamaized.net,EUN,NO,NO
nrk-od-no-55.akamaized.net,EUN,NO,NO
nrk-od-no-56.akamaized.net,EUN,NO,NO
nrk-od-no-57.akamaized.net,EUN,NO,NO
nrk-od-no-58.akamaized.net,EUN,NO,NO
nrk-od-no-59.akamaized.net,EUN,NO,NO
nrk-od-no-60.akamaized.net,EUN,NO,NO
nrk-od-no-61.akamaized.net,EUN,NO,NO
nrk-od-no-62.akamaized.net,EUN,NO,NO
nrk-od-no-63.akamaized.net,EUN,NO,NO
nrk-od-no-64.akamaized.net,EUN,NO,NO
nrk-od-no-65.akamaized.net,EUN,NO,NO
nrk-od-no-66.akamaized.net,EUN,NO,NO
nrk-od-no-67.akamaized.net,EUN,NO,NO
nrk-od-no-68.akamaized.net,EUN,NO,NO
nrk-od-no-69.akamaized.net,EUN,NO,NO
nrk-od-no-70.akamaized.net,EUN,NO,NO
nrk-od-no-71.akamaized.net,EUN,NO,NO
nrk-od-no-72.akamaized.net,EUN,NO,NO
nrk-od-no-73.akamaized.net,EUN,NO,NO
nrk-od-no-74.akamaized.net,EUN,NO,NO
nrk-od-no-75.akamaized.net,EUN,NO,NO
nrk-od-no-76.akamaized.net,EUN,NO,NO
nrk-od-no-77.akamaized.net,EUN,NO,NO
nrk-od-no-78.akamaized.net,EUN,NO,NO
nrk-od-no-79.akamaized.net,EUN,NO,NO
nrk-od-no-80.akamaized.net,EUN,NO,NO
nrk-od-no-81.akamaized.net,EUN,NO,NO
