a1241.dscv.akamai.net,AMN,US,US
nielsen.com,AMN,US,US
nielsencollections.com,AMN,US,US
fp-keyos.licensekeyserver.com,AMN,US,US
live-oneapp-prd-news.akamaized.net,AMN,US,US
nmrodam.com,AMN,US,US
ln-0002.ln-msedge.net,AMN,US,US
mgln.ai,AMN,US,US
msnbc.com,AMN,US,US
Nbc.com,AMN,US,US
nbcnews.com,AMN,US,US
us-east-1.elasticbeanstalk.com,AMN,US,US
nbcuni.com,AMN,US,US
nbcu-peacock-prod.map.fastly.net,AMN,US,US
prodamdnewsencoding.akamaized.net,AMN,US,US
s-usc1a-nss-2010.firebaseio.com,AMN,US,US
nmrodam.com,AMN,US,US
sp-gw.adobepass.com,AMN,US,US
tls13.taboola.map.fastly.net,AMN,US,US
us-east-1.elb.amazonaws.com,AMN,US,US
s-nbcnews.com,AMN,US,US
a1241.dscv.akamai.net,AMN,US,US
nielsen.com,AMN,US,US
nielsencollections.com,AMN,US,US
