1688.com,ASE,CN,CN
alibaba.com,ASE,CN,CN
alicdn.com,ASE,CN,CN
aliexpress.com,ASE,CN,CN
alimama.com,ASE,CN,CN
alipay.com,ASE,CN,CN
alitrip.com,ASE,CN,CN
aliyun.com,ASE,CN,CN
taobao.com,ASE,CN,CN
cainiao.com,ASE,CN,CN
etao.com,ASE,CN,CN
feizhu.com,ASE,CN,CN
fliggy.com,ASE,CN,CN
freshhema.com,ASE,CN,CN
liangxinyao.com,ASE,CN,CN
sm.cn,ASE,CN,CN
taobaocdn.com,ASE,CN,CN
tbcdn.cn,ASE,CN,CN
tmall.com,ASE,CN,CN
tmall.hk,ASE,CN,CN
xiami.com,ASE,CN,CN
9game.cn,ASE,CN,CN
alimama.cn,ASE,CN,CN
alipay.cn,ASE,CN,CN
alios.cn,ASE,CN,CN
antgroup-inc.cn,ASE,CN,CN
asmlink.cn,ASE,CN,CN
cueme.cn,ASE,CN,CN
damai.cn,ASE,CN,CN
doctoryou.cn,ASE,CN,CN
eleme.cn,ASE,CN,CN
elemecdn.cn,ASE,CN,CN
feizhu.cn,ASE,CN,CN
p0y.cn,ASE,CN,CN
fund123.cn,ASE,CN,CN
hemashare.cn,ASE,CN,CN
iconfont.cn,ASE,CN,CN
mashort.cn,ASE,CN,CN
m-now.cn,ASE,CN,CN
quark.cn,ASE,CN,CN
tb.cn,ASE,CN,CN
uc.cn,ASE,CN,CN
uczzd.cn,ASE,CN,CN
xinlingshou.cn,ASE,CN,CN
ac.cn,ASE,CN,CN
com.cn,ASE,CN,CN
edu.cn,ASE,CN,CN
gov.cn,ASE,CN,CN
mil.cn,ASE,CN,CN
net.cn,ASE,CN,CN
org.cn,ASE,CN,CN
