a1241.dscv.akamai.net,AMN,UD,UD
nielsen.com,AMN,UD,UD
nielsencollections.com,AMN,UD,UD
fp-keyos.licensekeyserver.com,AMN,UD,UD
live-oneapp-prd-news.akamaized.net,AMN,UD,UD
nmrodam.com,AMN,UD,UD
ln-0002.ln-msedge.net,AMN,UD,UD
mgln.ai,AMN,UD,UD
msnbc.com,AMN,UD,UD
Nbc.com,AMN,UD,UD
nbcnews.com,AMN,UD,UD
us-east-1.elasticbeanstalk.com,AMN,UD,UD
nbcuni.com,AMN,UD,UD
nbcu-peacock-prod.map.fastly.net,AMN,UD,UD
prodamdnewsencoding.akamaized.net,AMN,UD,UD
s-usc1a-nss-2010.firebaseio.com,AMN,UD,UD
nmrodam.com,AMN,UD,UD
sp-gw.adobepass.com,AMN,UD,UD
tls13.taboola.map.fastly.net,AMN,UD,UD
us-east-1.elb.amazonaws.com,AMN,UD,UD
s-nbcnews.com,AMN,UD,UD
a1241.dscv.akamai.net,AMN,UD,UD
nielsen.com,AMN,UD,UD
nielsencollections.com,AMN,UD,UD
